Student_ID,Age,Study_Hours_per_Week,Online_Courses_Completed,Assignment_Completion_Rate,Exam_Score,Attendance_Rate,Sleep_Hours_per_Night,Parental_Income,Extracurricular_Activities,Commute_Time,Part_Time_Job_Hours,Time_Spent_on_Social_Media,Gender,Preferred_Learning_Style,Participation_in_Discussions,Use_of_Educational_Tech,Peer_Study_Group,Self_Reported_Stress_Level,Parental_Education,Health_Metrics,Final_Grade,Letter_Grade,AtRisk
S00014,20,21.0,7.69,69.26,52.19,73.15,7.5,150979.42,13.25,136.3,16.3,5.06,Male,Reading/Writing,No,Yes,False,High,Bachelors_Degree,Average,79.75,C+,Yes
S00015,22,19.0,7.75,65.8,69.57,79.64,8.0,118754.88,17.39,114.5,12.3,4.55,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,84.2,B,No
S00016,24,36.5,14.22,79.03,80.17,82.12,5.0,101115.34,14.06,107.0,16.3,4.91,Female,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Poor,88.79,B+,No
S00017,18,37.6,15.17,65.74,72.65,74.87,6.6,81379.02,15.7,111.3,3.6,4.76,Female,Kinesthetic,No,Yes,False,High,Some_College_No_Degree,Average,84.2,B,No
S00018,20,31.0,5.72,71.46,74.19,83.53,8.0,53615.3,12.87,51.9,10.4,3.31,Male,Visual,No,Yes,True,Medium,High_School_Diploma,Average,82.26,B-,Yes
S00019,22,24.7,5.73,73.83,72.11,70.47,9.0,39009.24,16.62,89.7,10.8,2.8,Male,Reading/Writing,No,Yes,False,Medium,High_School_Diploma,Excellent,78.15,C+,Yes
S00020,21,36.6,12.87,84.03,78.38,92.9,5.9,120311.62,15.22,66.5,13.6,4.9,Male,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Poor,92.25,A-,No
S00021,18,33.2,12.15,65.4,67.98,73.42,6.8,96999.59,14.54,85.3,7.1,4.43,Male,Visual,No,Yes,False,High,Some_College_No_Degree,Average,84.24,B,No
S00022,22,17.0,9.46,64.15,61.3,69.56,8.2,77901.22,16.09,87.0,17.1,3.2,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Excellent,77.54,C+,Yes
S00023,19,25.1,3.79,66.99,61.59,69.03,9.8,59889.2,15.86,87.5,9.1,3.55,Male,Visual,No,Yes,False,High,High_School_Diploma,Excellent,78.94,C+,Yes
S00024,18,38.9,12.45,71.07,74.79,78.18,7.0,85187.2,16.81,91.5,1.3,4.32,Male,Kinesthetic,No,Yes,False,High,Some_College_No_Degree,Average,88.58,B+,No
S00025,20,31.8,8.0,74.27,67.63,78.62,7.0,117905.01,13.37,129.8,16.5,4.97,Female,Visual,No,Yes,False,High,Associate_Degree,Average,78.39,C+,Yes
S00026,24,5.2,6.41,67.51,49.99,62.3,7.8,119497.51,15.84,106.2,18.9,4.92,Male,Auditory,No,Yes,False,High,Associate_Degree,Average,77.57,C+,Yes
S00027,25,22.4,11.0,79.48,79.07,94.15,7.5,114952.5,17.44,88.5,12.9,2.71,Female,Reading/Writing,Yes,Yes,False,Low,Associate_Degree,Average,89.39,B+,No
S00028,24,35.1,9.61,90.38,85.67,90.07,7.4,116011.71,17.87,92.4,8.1,3.14,Female,Kinesthetic,Yes,Yes,True,Low,Associate_Degree,Average,94.76,A,No
S00029,21,32.0,10.13,80.47,76.25,89.69,7.3,120868.95,15.91,91.4,9.9,4.14,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,89.97,B+,No
S00030,21,31.3,13.75,81.86,68.09,79.91,7.1,105871.87,15.02,123.2,6.9,4.65,Female,Visual,Yes,Yes,False,High,Associate_Degree,Average,83.58,B,No
S00031,21,20.3,5.03,70.42,67.09,78.55,10.0,116815.68,16.64,105.2,5.6,3.32,Female,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Excellent,86.41,B,No
S00032,19,20.6,10.31,69.8,54.66,70.01,8.3,56363.26,14.42,104.5,16.8,3.25,Female,Reading/Writing,No,Yes,False,High,High_School_Diploma,Excellent,73.12,C,Yes
S00033,25,27.4,10.03,85.85,80.17,90.06,5.6,116247.02,18.25,102.6,14.5,3.99,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Poor,88.81,B+,No
S00034,23,29.5,9.57,76.1,77.06,84.99,7.0,87207.84,14.5,72.4,15.5,3.04,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,84.93,B,No
S00035,24,22.4,7.93,68.41,75.43,70.4,6.7,103362.79,17.8,126.2,11.5,4.65,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,79.75,C+,Yes
S00036,20,39.1,5.82,75.5,81.0,90.29,6.1,84028.06,15.79,55.8,13.3,3.25,Female,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Average,89.08,B+,No
S00037,21,18.9,11.83,76.6,63.44,82.61,9.0,123068.79,14.45,77.2,11.0,2.81,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,85.27,B,No
S00038,21,27.2,10.33,77.58,76.57,82.85,7.8,101895.54,18.39,79.5,5.5,2.74,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Average,89.16,B+,No
S00039,22,39.5,14.53,92.5,87.78,100.72,7.1,137838.07,17.46,71.6,3.9,3.8,Female,Kinesthetic,Yes,Yes,True,Medium,Bachelors_Degree,Average,100.47,A,No
S00040,25,28.2,10.39,93.84,85.18,98.35,5.8,134485.59,17.79,81.4,8.5,4.13,Female,Visual,Yes,Yes,True,Low,Bachelors_Degree,Poor,97.18,A,No
S00041,21,23.4,12.62,72.13,63.62,77.95,6.6,93409.9,14.51,87.2,16.9,3.73,Female,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Average,80.14,B-,Yes
S00042,21,26.0,6.25,68.83,73.02,75.97,7.7,103752.04,16.1,82.9,11.0,4.34,Male,Visual,No,Yes,False,High,Associate_Degree,Average,86.41,B,No
S00043,23,23.4,0.63,73.0,62.55,69.71,6.9,51126.83,13.98,100.6,16.9,3.97,Male,Reading/Writing,No,Yes,False,Medium,High_School_Diploma,Average,77.49,C+,Yes
S00044,24,16.6,5.87,75.64,71.46,82.03,8.2,155542.97,17.59,101.7,19.9,2.9,Female,Reading/Writing,Yes,Yes,False,Medium,Bachelors_Degree,Excellent,86.97,B,No
S00045,21,26.6,11.64,79.5,71.63,87.08,6.5,92077.88,17.08,79.7,4.8,3.06,Female,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,88.5,B+,No
S00046,21,14.5,6.99,70.33,60.39,79.32,8.3,97278.1,16.95,87.8,12.6,2.77,Male,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Excellent,80.0,B-,Yes
S00047,23,28.1,7.04,71.84,80.45,76.7,7.6,70227.2,17.78,72.8,14.2,4.3,Female,Visual,No,Yes,False,Medium,Some_College_No_Degree,Average,83.26,B,No
S00048,19,20.7,15.61,67.44,64.76,76.62,6.2,136716.66,15.19,100.6,13.0,4.28,Male,Reading/Writing,No,Yes,False,High,Bachelors_Degree,Average,84.73,B,No
S00049,21,35.7,10.08,86.62,81.85,86.91,9.3,113813.31,18.05,79.5,0.2,1.74,Male,Kinesthetic,Yes,Yes,True,Low,Associate_Degree,Excellent,94.85,A,No
S00050,23,25.5,9.82,72.58,84.88,90.65,6.3,108698.07,17.58,63.7,10.9,4.18,Male,Visual,No,Yes,True,Medium,Associate_Degree,Average,89.32,B+,No
S00051,23,31.0,11.76,83.32,72.63,82.86,7.2,99083.01,15.07,58.5,15.2,3.01,Male,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,87.26,B+,No
S00052,23,28.5,6.74,72.82,73.6,81.54,6.6,107660.0,15.11,72.8,16.1,3.98,Male,Visual,No,Yes,True,Medium,Associate_Degree,Average,87.9,B+,No
S00053,21,29.8,10.98,83.85,73.81,92.38,8.7,123528.64,18.05,84.8,8.2,2.19,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Excellent,91.01,A-,No
S00054,20,34.8,9.26,80.92,73.32,89.41,8.0,103235.58,14.05,46.1,7.6,3.74,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,92.26,A-,No
S00055,24,15.4,8.84,75.54,61.4,78.58,7.5,91166.86,14.5,91.8,20.4,3.93,Male,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Average,78.67,C+,Yes
S00056,22,21.9,11.49,65.68,68.99,73.02,6.9,129549.21,15.31,101.4,16.3,4.57,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,84.28,B,No
S00057,22,38.4,11.9,77.79,79.47,84.04,6.2,122381.83,11.61,89.9,14.4,4.03,Male,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Average,87.46,B+,No
S00058,22,16.8,6.02,57.05,65.71,67.8,7.0,75922.8,15.3,99.4,16.7,4.87,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,76.77,C,Yes
S00059,21,26.6,17.29,76.67,71.81,83.99,7.1,121559.51,17.32,86.6,9.0,3.82,Male,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,89.78,B+,No
S00060,21,36.2,12.48,81.68,75.65,81.84,7.7,107307.14,16.85,80.9,8.8,3.69,Male,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Average,91.83,A-,No
S00061,24,10.6,7.28,65.26,61.89,77.49,7.6,137347.31,15.88,92.6,16.6,4.49,Male,Auditory,No,Yes,False,High,Bachelors_Degree,Average,84.66,B,No
S00062,25,15.7,4.11,54.44,70.91,67.67,6.8,140767.1,13.35,147.7,15.1,4.77,Male,Reading/Writing,No,Yes,False,Medium,Bachelors_Degree,Average,78.55,C+,Yes
S00063,21,26.8,12.3,74.16,63.39,77.92,6.9,27703.83,12.99,27.1,11.5,3.85,Male,Visual,No,Yes,False,High,High_School_Diploma,Average,80.57,B-,Yes
S00064,19,26.0,11.43,72.11,69.83,78.6,8.0,68812.28,16.07,78.9,3.9,3.89,Female,Visual,No,Yes,False,Medium,High_School_Diploma,Average,82.91,B-,Yes
S00065,22,22.2,11.2,75.82,66.51,77.5,7.4,55003.3,15.21,67.8,13.0,3.84,Female,Reading/Writing,Yes,Yes,False,Medium,High_School_Diploma,Average,79.9,C+,Yes
S00066,20,30.8,17.65,75.81,71.33,75.22,8.4,94110.24,15.16,102.4,11.4,3.65,Female,Visual,Yes,Yes,False,High,Some_College_No_Degree,Excellent,82.32,B-,Yes
S00067,20,28.1,9.0,83.71,71.52,88.67,7.4,72858.7,17.41,96.0,6.1,3.16,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,85.36,B,No
S00068,22,26.2,11.98,71.94,68.37,76.57,6.8,135286.53,15.69,129.2,10.1,4.7,Male,Visual,No,Yes,False,Medium,Bachelors_Degree,Average,84.01,B,No
S00069,20,20.7,6.87,60.4,58.45,63.72,7.1,100269.71,14.67,124.3,19.5,5.18,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,72.32,C-,Yes
S00070,24,7.8,2.66,60.92,61.3,68.75,8.8,135301.13,16.8,103.6,18.2,3.87,Female,Auditory,No,Yes,False,High,Bachelors_Degree,Excellent,81.91,B-,Yes
S00071,19,30.4,14.86,79.95,76.04,90.97,8.0,138412.79,18.46,76.8,4.7,4.54,Male,Visual,Yes,Yes,True,Medium,Bachelors_Degree,Average,93.74,A,No
S00072,25,15.1,6.0,77.2,66.02,85.28,7.6,70586.55,15.15,83.7,12.4,3.22,Female,Reading/Writing,Yes,Yes,False,Low,Some_College_No_Degree,Average,81.89,B-,Yes
S00073,25,11.4,4.42,73.6,64.32,80.92,8.2,89084.72,15.13,71.0,18.1,3.2,Female,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Excellent,80.0,B-,Yes
S00074,23,5.8,6.61,52.73,57.49,63.33,6.1,115591.03,16.31,132.9,18.4,5.19,Female,Auditory,No,Yes,False,High,Associate_Degree,Average,70.45,C-,Yes
S00075,18,23.7,11.3,58.44,54.31,56.04,8.3,108483.39,15.93,135.6,7.4,4.06,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Excellent,76.13,C,Yes
S00076,22,28.5,11.01,70.3,76.5,78.32,6.9,120685.31,15.75,88.0,11.0,4.44,Male,Visual,No,Yes,False,Medium,Associate_Degree,Average,88.12,B+,No
S00077,21,34.6,12.2,86.51,74.73,91.75,6.7,103706.25,15.28,54.8,15.9,3.81,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,89.42,B+,No
S00078,22,26.5,8.11,75.45,73.02,82.77,6.6,71674.76,15.12,69.7,16.5,2.93,Other,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,81.7,B-,Yes
S00079,24,20.2,15.29,85.87,78.38,89.57,7.5,169623.65,20.68,113.2,10.9,4.29,Male,Reading/Writing,Yes,Yes,False,Medium,Masters_Degree,Average,92.94,A-,No
S00080,20,34.5,10.62,82.72,69.72,82.96,9.3,91409.01,13.43,88.2,9.4,3.07,Female,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Excellent,86.03,B,No
S00081,21,33.3,9.78,79.16,77.84,86.84,7.1,92224.43,16.05,80.5,8.8,3.71,Female,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,88.29,B+,No
S00082,23,13.9,12.02,70.15,57.98,74.83,7.3,87274.67,13.89,126.3,9.3,4.93,Female,Auditory,No,Yes,False,High,Some_College_No_Degree,Average,74.56,C,Yes
S00083,22,20.5,5.84,69.3,62.93,75.99,8.6,75039.23,14.21,94.7,13.3,3.82,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Excellent,80.27,B-,Yes
S00084,25,27.8,12.03,80.16,80.55,82.5,6.4,124996.28,15.65,78.6,19.6,2.97,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Average,87.72,B+,No
S00085,23,27.6,12.65,75.24,71.73,78.05,5.7,100329.44,14.33,105.7,13.6,5.57,Male,Visual,Yes,Yes,False,Medium,Associate_Degree,Poor,85.62,B,No
S00086,21,36.6,10.35,90.9,89.27,102.0,8.7,148436.62,17.68,88.5,7.5,1.28,Male,Kinesthetic,Yes,Yes,True,Low,Bachelors_Degree,Excellent,97.38,A,No
S00087,24,25.4,9.12,75.64,80.17,74.97,8.5,111396.64,16.05,88.8,15.1,2.89,Female,Visual,Yes,Yes,False,Medium,Associate_Degree,Excellent,84.7,B,No
S00088,18,22.3,12.81,66.8,56.89,68.58,8.2,135469.5,14.73,110.8,16.5,3.13,Male,Reading/Writing,No,Yes,False,High,Bachelors_Degree,Excellent,81.98,B-,Yes
S00089,26,15.7,5.27,69.01,70.04,82.29,6.8,129668.29,14.09,88.1,18.6,3.71,Other,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,85.89,B,No
S00090,18,34.3,10.91,76.85,67.88,74.94,9.1,51285.14,15.79,80.9,10.1,3.04,Female,Visual,Yes,Yes,False,Medium,High_School_Diploma,Excellent,80.87,B-,Yes
S00091,23,18.7,12.07,80.85,71.59,83.44,6.3,127670.64,16.7,89.9,10.4,3.81,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Average,88.16,B+,No
S00092,25,10.9,6.13,67.13,52.43,69.96,6.4,99289.65,13.02,122.4,21.1,4.62,Male,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Average,70.96,C-,Yes
S00093,24,24.7,7.7,84.39,78.42,84.65,9.1,121227.18,17.94,62.4,10.9,2.82,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,90.2,A-,No
S00094,18,17.8,12.2,64.64,46.16,73.24,8.5,104071.26,15.7,133.6,7.4,3.5,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Excellent,76.02,C,Yes
S00095,25,23.2,7.89,78.85,80.65,90.55,8.8,108114.37,15.87,87.0,13.7,1.95,Male,Reading/Writing,Yes,Yes,False,Low,Associate_Degree,Excellent,87.99,B+,No
S00096,24,21.5,10.37,78.21,73.97,83.27,8.0,126832.65,18.55,84.4,16.8,4.26,Female,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Average,87.16,B+,No
S00097,22,21.8,9.48,78.88,63.75,84.34,7.1,81093.57,15.06,84.9,13.4,3.99,Male,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Average,82.6,B-,Yes
S00098,22,24.9,7.63,64.49,65.31,67.26,8.3,45974.3,12.91,111.8,10.4,3.43,Male,Reading/Writing,No,Yes,False,High,High_School_Diploma,Excellent,76.63,C,Yes
S00099,21,18.2,9.85,72.64,69.59,86.69,8.4,89543.04,18.14,37.6,7.6,2.58,Female,Reading/Writing,No,No,False,Medium,Some_College_No_Degree,Excellent,85.91,B,No
S00100,22,14.7,7.31,63.37,60.43,71.27,7.5,124743.79,14.52,107.3,19.6,4.36,Female,Auditory,No,Yes,False,High,Associate_Degree,Average,79.33,C+,Yes
S00101,20,43.1,14.5,81.71,90.1,93.29,6.8,75749.18,18.85,50.1,7.4,3.54,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Average,92.0,A-,No
S00102,21,23.1,15.1,70.92,66.71,73.61,7.7,124033.46,16.08,108.9,14.7,4.01,Male,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,83.34,B,No
S00103,23,30.4,9.44,87.67,84.96,101.99,6.8,131866.37,18.19,28.9,9.4,2.64,Male,Visual,Yes,Yes,True,Low,Bachelors_Degree,Average,98.15,A,No
S00104,22,22.2,13.94,70.29,72.07,75.98,7.4,86215.7,17.03,61.2,12.8,4.1,Female,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Average,82.82,B-,Yes
S00105,22,17.4,5.62,72.6,63.1,78.36,8.6,80647.2,16.11,39.9,16.3,2.3,Male,Reading/Writing,No,No,False,Medium,Some_College_No_Degree,Excellent,82.12,B-,Yes
S00106,23,16.4,10.18,71.45,67.36,74.16,8.8,132878.34,17.77,121.9,11.5,3.55,Male,Reading/Writing,No,Yes,False,Medium,Bachelors_Degree,Excellent,81.18,B-,Yes
S00107,21,37.5,12.33,83.73,71.83,80.88,7.2,68140.84,12.96,97.7,11.8,3.9,Male,Kinesthetic,Yes,Yes,True,Medium,High_School_Diploma,Average,83.01,B,No
S00108,22,11.4,6.19,63.95,50.02,70.81,7.5,47957.01,14.95,60.2,12.0,4.26,Female,Auditory,No,Yes,False,High,High_School_Diploma,Average,77.0,C+,Yes
S00109,23,23.6,9.24,89.45,73.08,94.73,8.3,122685.07,17.89,73.6,11.8,1.98,Male,Reading/Writing,Yes,Yes,False,Low,Associate_Degree,Excellent,90.42,A-,No
S00110,23,27.0,11.22,73.44,80.49,88.96,7.4,152231.02,18.69,87.4,4.6,3.77,Male,Visual,No,Yes,True,Medium,Bachelors_Degree,Average,96.89,A,No
S00111,22,28.4,11.99,84.58,64.28,80.81,8.6,106061.29,12.99,92.5,13.2,1.94,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Excellent,86.97,B,No
S00112,21,24.6,6.01,68.79,69.55,79.63,7.6,79934.21,16.61,119.4,10.1,4.77,Female,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,82.31,B-,Yes
S00113,21,22.4,12.69,80.96,67.31,82.79,8.1,84692.84,16.59,51.2,14.4,2.48,Female,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Excellent,82.95,B-,Yes
S00114,23,22.6,9.61,75.22,68.4,78.82,8.0,82738.14,15.01,97.8,10.6,3.97,Male,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Average,83.3,B,No
S00115,19,12.2,8.32,69.7,49.68,75.9,9.1,90287.62,16.45,78.8,12.4,3.6,Male,Auditory,No,Yes,False,High,Some_College_No_Degree,Excellent,78.5,C+,Yes
S00116,22,18.8,9.32,64.39,73.45,77.72,7.5,110860.98,16.24,54.1,12.2,4.09,Male,Reading/Writing,No,No,False,High,Associate_Degree,Average,85.92,B,No
S00117,22,22.8,11.73,68.04,72.15,73.66,6.7,111608.38,16.14,92.5,17.4,4.68,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,82.9,B-,Yes
S00118,19,22.0,11.11,68.17,56.77,73.68,6.6,46110.82,16.29,84.4,14.9,4.28,Other,Reading/Writing,No,Yes,False,High,High_School_Diploma,Average,75.39,C,Yes
S00119,25,26.6,10.95,76.04,71.76,73.67,6.1,72457.33,13.37,139.7,12.3,3.57,Male,Visual,Yes,Yes,False,Low,Some_College_No_Degree,Average,76.18,C,Yes
S00120,21,27.9,8.49,71.06,67.02,70.73,7.8,64187.22,12.7,61.5,12.3,3.69,Other,Visual,No,Yes,False,Medium,High_School_Diploma,Average,80.31,B-,Yes
S00121,22,27.8,5.81,79.28,68.69,82.68,8.3,75452.18,14.04,82.2,12.6,1.89,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Excellent,84.31,B,No
S00122,23,31.8,15.0,85.09,74.53,85.52,7.0,125667.86,14.89,114.8,13.7,3.84,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,89.1,B+,No
S00123,24,26.9,7.85,78.56,72.79,75.65,9.0,125532.76,16.75,129.7,13.1,3.21,Male,Visual,Yes,Yes,False,Medium,Associate_Degree,Excellent,83.3,B,No
S00124,21,20.0,9.94,62.28,66.95,70.08,7.5,78514.05,15.44,87.0,8.6,4.24,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,81.35,B-,Yes
S00125,22,32.7,13.54,84.25,73.42,82.9,8.0,102493.59,13.98,115.5,9.9,4.04,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,87.54,B+,No
S00126,22,30.3,11.69,76.07,62.21,73.6,6.5,84286.7,12.0,127.3,15.0,4.75,Male,Visual,Yes,Yes,False,Medium,Some_College_No_Degree,Average,76.39,C,Yes
S00127,23,27.5,9.07,77.26,80.44,85.03,7.1,116625.8,18.18,71.3,12.2,3.2,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Average,89.84,B+,No
S00128,23,29.7,16.02,83.04,81.67,86.24,7.9,106267.11,17.52,78.2,8.9,3.83,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,90.57,A-,No
S00129,18,19.4,6.79,51.15,65.5,72.6,7.5,55375.11,17.24,82.5,12.6,4.37,Female,Reading/Writing,No,Yes,False,High,High_School_Diploma,Average,75.92,C,Yes
S00130,26,16.2,7.51,83.98,70.81,89.38,7.4,96868.99,17.72,70.5,13.5,3.24,Female,Reading/Writing,Yes,Yes,False,Low,Some_College_No_Degree,Average,87.03,B+,No
S00131,23,27.2,8.22,79.58,73.81,79.74,7.4,84168.45,18.76,124.4,7.7,4.42,Female,Visual,Yes,Yes,False,Medium,Some_College_No_Degree,Average,80.51,B-,Yes
S00132,21,24.3,3.49,75.73,68.16,83.67,8.4,98674.93,16.77,86.6,16.3,1.83,Male,Reading/Writing,Yes,Yes,False,Low,Some_College_No_Degree,Excellent,83.25,B,No
S00133,21,23.5,14.64,82.66,58.41,79.58,7.7,82963.47,13.18,94.6,13.6,4.15,Female,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Average,80.67,B-,Yes
S00134,23,11.7,6.29,64.69,64.31,72.73,7.5,84385.22,18.55,73.7,19.2,4.45,Female,Auditory,No,Yes,False,High,Some_College_No_Degree,Average,77.39,C+,Yes
S00135,21,33.7,14.58,72.46,78.12,80.12,6.2,125016.11,16.75,122.0,5.2,5.22,Female,Visual,No,Yes,True,High,Associate_Degree,Average,89.94,B+,No
S00136,20,24.8,7.64,67.46,63.19,74.84,8.1,57016.05,14.2,73.4,11.0,3.38,Male,Reading/Writing,No,Yes,False,High,High_School_Diploma,Excellent,79.65,C+,Yes
S00137,26,23.6,2.28,87.68,79.95,100.7,7.9,104568.04,16.42,97.9,12.6,2.99,Male,Reading/Writing,Yes,Yes,False,Low,Associate_Degree,Average,91.49,A-,No
S00138,23,5.0,8.46,69.91,69.5,85.16,8.4,188345.73,23.2,70.0,6.8,3.24,Male,Auditory,No,Yes,False,High,Masters_Degree,Excellent,93.08,A,No
S00139,18,33.0,11.47,79.18,63.95,86.21,7.2,69510.34,14.96,67.5,8.3,3.6,Male,Visual,Yes,Yes,True,Medium,High_School_Diploma,Average,83.35,B,No
S00140,22,33.2,10.19,85.19,79.35,88.78,6.8,146684.78,16.63,120.2,3.6,3.4,Female,Visual,Yes,Yes,True,Low,Bachelors_Degree,Average,94.58,A,No
S00141,19,26.9,3.89,70.94,68.36,84.1,6.3,29782.68,16.93,58.0,10.3,3.62,Male,Visual,No,No,True,Medium,High_School_Diploma,Average,81.2,B-,Yes
S00142,18,33.2,12.64,80.3,65.03,84.48,7.1,82505.64,12.89,79.4,8.5,4.01,Male,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,85.1,B,No
S00143,23,41.6,14.09,85.76,87.93,88.52,6.7,145493.84,14.9,103.2,9.8,3.8,Male,Kinesthetic,Yes,Yes,True,Medium,Bachelors_Degree,Average,96.71,A,No
